dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,2225871,146900,556468,0.0001,"(50,)",0.11967983783434089,0.624142435941269,0.11967983783434089,0.11611594187732444,0.11534083730917295,0.22036985601776904,0.06008152331398844,0.08639463315931496,0.5004972123935273,2.090033610688674e-07,0.061669978175626396,0.779630143982231,0.044729510468736584,0.8803201621656591,0.11630368232727051,2.3609778881073
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,2225871,146668,556468,0.0001,"(50,)",0.10696392245376195,0.6214478839708562,0.10696392245376195,0.09390571945704579,0.1003095090461051,0.21072279936868676,0.04918441680805392,0.074369310632918,0.4971538592855195,2.4131018650819946e-07,0.062477718283443055,0.7892772006313132,0.04412969670540794,0.893036077546238,0.13428139686584473,2.248584032058716
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,2225871,146890,556468,0.0001,"(50,)",0.0866644622871396,0.6243118012812578,0.0866644622871396,0.10425907041010206,0.12125954170965289,0.2259890716859083,0.06521707969691937,0.07052901356162568,0.589436992964983,2.1459634419025408e-07,0.06233915093892093,0.7740109283140917,0.021751726370953545,0.9133355377128604,0.1194159984588623,3.664886236190796
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,2225871,146777,556468,0.0001,"(50,)",0.11495899135260249,0.6211552808624645,0.11495899135260249,0.10730274473732695,0.10994167348066507,0.22286583244471886,0.06083327534906548,0.08179589563731604,0.5018778713173228,2.163259958572556e-07,0.06198846307327239,0.7771341675552812,0.0447859374516884,0.8850410086473975,0.12037849426269531,3.284468173980713
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,2225872,147099,556467,0.0001,"(50,)",0.04620579477309526,0.6108041453955344,0.04620579477309526,0.07872619245912674,0.09284969670573959,0.21757125864438737,0.03941884957211888,0.044439566367332095,0.4980273388262583,2.1134479033524261e-07,0.06372648070447832,0.7824287413556126,0.002103005340270169,0.9537942052269047,0.11760640144348145,1.6625339984893799
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,2225871,146900,556468,0.0001,"(100,)",0.1393036077546238,0.6312459134481628,0.1393036077546238,0.09638559700008242,0.11792569486684162,0.21911305955652086,0.081813252336873,0.14125952335031244,0.5392858084521002,2.7286551107462567e-07,0.06060210189387931,0.7808869404434792,0.0483351361628135,0.8606963922453762,0.1518409252166748,3.7180347442626953
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,2225871,146668,556468,0.0001,"(100,)",0.10415872970233689,0.6281350530851159,0.10415872970233689,0.07961215647607701,0.12139836581190415,0.21401815579665007,0.08513143041667837,0.12439874026156496,0.4719176591564747,2.851187456608473e-07,0.061481122882881656,0.7859818442033499,0.026375572945561754,0.8958412702976631,0.1586594581604004,2.804342269897461
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,2225871,146890,556468,0.0001,"(100,)",0.10166802044322405,0.6357011479198897,0.10166802044322405,0.12337467519396304,0.13101813109571442,0.22333095975634754,0.0871725962746066,0.13296768761397845,0.5467935040990823,2.780000529565544e-07,0.060221639816275895,0.7766690402436524,0.004992617687362376,0.8983319795567759,0.15469813346862793,3.4826278686523438
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,2225871,146777,556468,0.0001,"(100,)",0.09833449542471445,0.6330976091341711,0.09833449542471445,0.11729949047400585,0.13147949896905273,0.21970548939503173,0.07930603545770107,0.12806350897890137,0.5531018449568449,2.9731970937677563e-07,0.060524857177009964,0.7802945106049683,0.006207353079863957,0.9016655045752856,0.16544890403747559,2.086721181869507
CIC18,B__RobustScaler_pca_RUS_SMOTE_ENN_mlp,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,2225872,147099,556467,0.0001,"(100,)",0.10352815171429752,0.6349669502817862,0.10352815171429752,0.12733805774249135,0.12978347244503288,0.22005855704164556,0.08180200154767604,0.13341668299512024,0.504347643881112,2.7215734425732493e-07,0.06010839462378412,0.7799414429583545,0.005154071071059178,0.8964718482857025,0.15144658088684082,5.143936395645142
