dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,2225871,148745,556468,0.0001,"(50,)",0.9553702998195763,0.9741963067839483,0.9553702998195763,0.9617940597142512,0.6209641581181998,0.9509758614810241,0.6588825101925214,0.9298533123722192,0.9973943478408691,1.961918564499227e-07,0.0031833574199434155,0.049024138518976045,0.003120661118727554,0.04462970018042367,0.10917448997497559,6.345016241073608
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,2225871,148712,556468,0.0001,"(50,)",0.9433983625293817,0.967663820847962,0.9433983625293817,0.9516608642185147,0.6045488498648744,0.9473593826084229,0.6426391542596956,0.9127234529729257,0.9966744845043087,1.9385209232966128e-07,0.003993002589657854,0.05264061739157715,0.0032934013742495455,0.056601637470618256,0.10787248611450195,4.090598821640015
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,2225871,148695,556468,0.0001,"(50,)",0.9499108663930361,0.9711952253594808,0.9499108663930361,0.9573128151601,0.6175201340366687,0.9322796451963339,0.6606482855501388,0.9217346017463747,0.9968491217655773,1.9133366466093823e-07,0.0035990822871879847,0.06772035480366617,0.0038971007008558553,0.050089133606963925,0.10647106170654297,4.385049819946289
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,2225871,148680,556468,0.0001,"(50,)",0.9582833154826513,0.975055979830562,0.9582833154826513,0.9640905874526654,0.6273550437020404,0.9632037273243974,0.6667563948558137,0.9339430997635434,0.9972447584389429,1.9129039123553144e-07,0.003030432224883617,0.03679627267560271,0.003739798855905549,0.04171668451734871,0.10644698143005371,7.256068229675293
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,2225872,148765,556467,0.0001,"(50,)",0.9613310402952916,0.976377424788031,0.9613310402952916,0.9666843667795646,0.6322449228044398,0.9649826814626346,0.6738589067427312,0.9383735402170519,0.9968166604252778,1.898759913559301e-07,0.00283978783177801,0.035017318537365436,0.003927857771961697,0.038668959704708454,0.10565972328186035,9.081097602844238
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,2225871,148745,556468,0.0001,"(100,)",0.9621074347491679,0.9769929449124884,0.9621074347491679,0.9670650102722025,0.6390926731820097,0.9451427796700934,0.686850500313149,0.9397927164982276,0.9967086543656262,2.692198320965439e-07,0.002724844430536683,0.05485722032990652,0.0029801012072182254,0.03789256525083203,0.1498122215270996,15.129355430603027
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,2225871,148712,556468,0.0001,"(100,)",0.9437469899437164,0.9690579815253633,0.9437469899437164,0.9526847404151295,0.603876903359433,0.9435246246591993,0.6390661483668427,0.9128916914384383,0.9967645664318006,2.651114273814392e-07,0.004016246480759504,0.05647537534080084,0.003990687155108993,0.05625301005628356,0.14752602577209473,4.419135093688965
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,2225871,148695,556468,0.0001,"(100,)",0.9578538208845792,0.9742442635094731,0.9578538208845792,0.9635965427371298,0.6409330628031872,0.9407106327646962,0.6864818490776583,0.9333054442088192,0.9974130039897715,2.668475057947883e-07,0.003052407707679299,0.05928936723530391,0.003639936499768647,0.042146179115420825,0.14849209785461426,7.634043216705322
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,2225871,148680,556468,0.0001,"(100,)",0.9612718071838812,0.9747139094939277,0.9612718071838812,0.9659290602977946,0.6367909825670451,0.9652534947037008,0.6791178985554317,0.9380720543861008,0.9975434898425902,2.656885492034484e-07,0.002908454653246112,0.034746505296299295,0.004898626982572873,0.038728192816118806,0.14784717559814453,8.659370183944702
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_mlp,StandardScaler + PCA + RUS_SMOTE_ENN + mlp,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,2225872,148765,556467,0.0001,"(100,)",0.9638379274961498,0.9768949619298907,0.9638379274961498,0.9683004675389811,0.6446687386939943,0.9683343412048442,0.69068466998152,0.9421498384748183,0.9972037758865255,2.6557720107211933e-07,0.0026685266165133417,0.03166565879515592,0.003865826743849935,0.03616207250385018,0.14778494834899902,10.832475900650024
