rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9803302184752738,0.00019852082911587154,3.9410519592853074e-08,0.9808610755730864,0.00022217987668155705,4.9363897602231904e-08,0.9803302184752738,0.00019852082911587154,3.9410519592853074e-08,0.9805648552122864,0.00020630035310013314,4.255983568923962e-08,0.9240929923083913,0.02208586858798124,0.0004877855912855765,0.9142128780005484,0.013844945278027217,0.00019168250975156812,0.9147851655392838,0.013430776379935911,0.0001803857541678444,0.013717673046756685,0.0002733776327357904,7.473533008022471e-08,0.019669781524726284,0.0001985208291158535,3.94105195928459e-08,0.002225830304765531,3.058993854390124e-05,9.357443401196548e-10,0.08578712199945154,0.013844945278027243,0.00019168250975156885,0.9667448618583467,0.00034068527623749454,1.1606645744501795e-07,0.9941357925542856,8.521890458574651e-05,7.262261698794569e-09,0.002223202344928997,4.173360567333965e-06,1.7416938424978072e-11,0.2237698554992676,0.023677937490163135,0.000560644723788073,1237.1405168056488,2.321653038397601,5.390072830700814
2,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9805782112812219,0.00014806199991733443,2.1922355819520738e-08,0.9813581993928902,0.00018254928488081607,3.332424141049734e-08,0.9805782112812219,0.00014806199991733443,2.1922355819520738e-08,0.9809083755816429,0.00015833043842244904,2.5068527731044926e-08,0.926380427944121,0.01997906038707102,0.0003991628539502305,0.9080548380374964,0.014524851999048308,0.00021097132559425762,0.910372652151015,0.011236862173158549,0.00012626707149856144,0.012705676981295141,0.00025608281256599526,6.557840689171066e-08,0.019421788718778144,0.00014806199991731757,2.1922355819515752e-08,0.0021418310466715528,2.6206668027348797e-05,6.867894490956657e-10,0.09194516196250369,0.014524851999048275,0.00021097132559425667,0.9672111227565221,0.00025708263772421046,6.609148261923763e-08,0.9964294416594639,2.837065967655372e-05,8.048943304828313e-10,0.0022312204221682924,1.6136719783036546e-06,2.6039372535624306e-12,0.2229832172393799,0.02247972457182044,0.0005053380168249077,1241.6023190975188,0.8970197634428525,0.8046444560070711
3,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9809505598730457,0.00015510241764230725,2.4056759958488703e-08,0.9820155036595842,0.00018090885797838698,3.272801489504419e-08,0.9809505598730457,0.00015510241764230725,2.4056759958488703e-08,0.9813805970376954,0.00016122302298410607,2.5992863140133593e-08,0.9248787741201113,0.023943730046328736,0.0005733022085314656,0.9118582094088555,0.010538232052807451,0.00011105433479881833,0.9101230325840923,0.010371120679386775,0.000107560144146404,0.011529300626027111,0.00025561017297586467,6.533656052875147e-08,0.019049440126954368,0.00015510241764227605,2.4056759958479022e-08,0.0020385827168654318,2.692029475748986e-05,7.247022698301359e-10,0.08814179059114442,0.010538232052807375,0.00011105433479881673,0.9678953788327425,0.000268689597083417,7.219409958084899e-08,0.9974337885827806,3.956372566257796e-05,1.56528838830373e-09,0.002234535698849391,1.4309447240693757e-07,2.0476028033419815e-14,0.22225465774536132,0.02288836660945261,0.0005238773260487051,1243.4471643447876,0.0793326938533361,0.006293676314027152
4,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9808042800983638,0.00010655482465282947,1.1353930656795235e-08,0.9817412081937403,0.00012647989753910224,1.5997164481501802e-08,0.9808042800983638,0.00010655482465282947,1.1353930656795235e-08,0.9811906190974939,0.00011144655282754942,1.2420334137143763e-08,0.9239612272214833,0.023006886239346547,0.0005293168144302335,0.9111170222602508,0.010301381872790777,0.00010611846848906243,0.9098558616949814,0.009912620808280355,9.826005128875266e-05,0.012034602284242451,0.00019425512094908736,3.7735052014944556e-08,0.019195719901636096,0.00010655482465280383,1.1353930656789772e-08,0.0020820214790585696,1.9438002695444378e-05,3.7783594878810297e-10,0.08888297773974915,0.010301381872790727,0.00010611846848906139,0.9676234144149708,0.00018509284590399397,3.425936160483966e-08,0.9971381929959365,4.082143833891135e-05,1.6663898280575418e-09,0.0022355899412098467,1.426158062891582e-06,2.033926820350669e-12,0.22249307632446289,0.02191198175556623,0.00048013494445626743,1244.0338161945342,0.793430376233398,0.6295317619298715
5,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9810418499692448,0.00013409832729992683,1.7982361384638298e-08,0.9822308214139117,0.00016731774828831117,2.799522889227065e-08,0.9810418499692448,0.00013409832729992683,1.7982361384638298e-08,0.9815123120010615,0.00014248437550086493,2.0301797261871476e-08,0.926385893172678,0.026214099550351897,0.0006871790152357595,0.9118609212335158,0.009045033095117684,8.181262369177419e-05,0.9088741447965203,0.009625889400244015,9.265774674573009e-05,0.011082658555122844,0.0002464244708199844,6.072501981890936e-08,0.018958150030755308,0.00013409832729994713,1.7982361384643744e-08,0.0020027205723918773,2.527340283081227e-05,6.387448906485097e-10,0.0881390787664842,0.009045033095117692,8.181262369177434e-05,0.9680742913437145,0.0002346966799067907,5.508253155927058e-08,0.9975807292398666,3.761695993749354e-05,1.4150356749389942e-09,0.0022360339631204646,4.547932139809881e-07,2.0683686748315685e-13,0.22147750854492188,0.020503304886337503,0.0004203855112621113,1244.2809002876281,0.2537223457275071,0.06437502872146866
6,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9793677189629444,0.00018077353446636633,3.267907076346253e-08,0.9798566357404696,0.00019997404470734612,3.9989618556615664e-08,0.9793677189629444,0.00018077353446636633,3.267907076346253e-08,0.9795853327985888,0.00018737383835105238,3.510895529840631e-08,0.9263638322456673,0.029688707422983837,0.0008814193484475355,0.9059391024178357,0.008299516602203913,6.88819758302584e-05,0.9083578099915023,0.00948679729795937,8.999932297256922e-05,0.014664715644072467,0.0002727158377745282,7.43739281730628e-08,0.020632281037055736,0.0001807735344663447,3.267907076345471e-08,0.002353133112075213,2.9433766523283002e-05,8.663466117471352e-10,0.09406089758216414,0.008299516602203873,6.888197583025774e-05,0.965107003497925,0.00031115262138860646,9.681595379700146e-08,0.9937676858166491,0.00010440162553552922,1.0899699414460868e-08,0.0005223989032925368,1.968896511573269e-05,3.8765534732853884e-10,0.22299318313598632,0.022154679280220472,0.0004908298140094303,290.6981704711914,10.956345174632709,120.04149958569745
7,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.979600975970321,0.0001572698120927085,2.4733793795675846e-08,0.9803241851725357,0.00019508430347300065,3.805788546154581e-08,0.979600975970321,0.0001572698120927085,2.4733793795675846e-08,0.9799126772473953,0.00017025349889971574,2.8986253887595506e-08,0.9217097924409752,0.02788186769772814,0.0007773985463136159,0.9043761033398978,0.006765328396661315,4.576966831467196e-05,0.905695026421269,0.010033297178432373,0.00010066705227073901,0.013741466916059247,0.00027725762256294704,7.687178926925759e-08,0.02039902402967896,0.00015726981209268807,2.4733793795669417e-08,0.0022760327297158805,2.7922102347079353e-05,7.796437994807744e-10,0.0956238966601021,0.006765328396661313,4.5769668314671936e-05,0.9655448811683316,0.0002729377921796653,7.449503839991015e-08,0.9962179094905947,8.729575129707361e-05,7.62054819452053e-09,0.0005226240239883304,2.086261432734204e-05,4.352486765714173e-10,0.22311630249023437,0.022077636548430122,0.00048742203556457754,290.82344522476194,11.609508355976477,134.78068426748763
8,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9810968396690413,0.0001407804636187074,1.98191389366982e-08,0.9824500675933419,0.00018072982315900062,3.266326897908364e-08,0.9810968396690413,0.0001407804636187074,1.98191389366982e-08,0.9816194495522332,0.0001511693880640661,2.2852183887664212e-08,0.9212696859497612,0.029075120349141097,0.0008453626233170387,0.9098426416637274,0.007469834301002603,5.5798424484435046e-05,0.9049646671195692,0.012444791979209642,0.00015487284740580063,0.010570525425265905,0.0002415875856803162,5.8364561554844124e-08,0.018903160330958665,0.00014078046361870898,1.9819138936698645e-08,0.001964912383748305,2.5419900808909784e-05,6.461713571348122e-10,0.09015735833627252,0.007469834301002567,5.579842448443452e-05,0.9681998686039229,0.00024607640775772957,6.055359845494838e-08,0.997704955459135,3.0152156600968475e-05,9.091525476893268e-10,0.002241101355859694,3.343096451135008e-06,1.1176293881591485e-11,0.22363367080688476,0.020994535218312713,0.0004407705090329728,1247.1007400035858,1.8594286101632531,3.4574747562936468
9,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.979732160568374,0.00012820711262082678,1.6437063726569365e-08,0.9806085632070246,0.0001414725271516936,2.001447593868668e-08,0.979732160568374,0.00012820711262082678,1.6437063726569365e-08,0.9801009021399455,0.000130915736679601,1.7138930110362626e-08,0.9252920795771622,0.031133946079096142,0.0009693225984560661,0.9038241446550987,0.006803116043885441,4.6282387906571497e-05,0.9047233094894501,0.010503753830162684,0.00011032884452465726,0.013167615944910213,0.00019927631819557847,3.9711050993585436e-08,0.02026783943162608,0.00012820711262084172,1.6437063726573193e-08,0.002229030358435753,2.0471082869657128e-05,4.190652338563695e-10,0.09617585534490129,0.00680311604388542,4.6282387906571205e-05,0.965795759603429,0.0002199498578851662,4.83779399837048e-08,0.9969756737669382,5.126747175048506e-05,2.6283536596867836e-09,0.0005267796537699375,1.8984673808706842e-05,3.604178396229996e-10,0.2241197109222412,0.02302008795609445,0.0005299244495063248,293.1359125614166,10.564276270878542,111.60393312744745
10,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.979762350972656,0.0001052492422094556,1.1077402985664649e-08,0.9807733194421082,0.0001367318690817373,1.869560402258535e-08,0.979762350972656,0.0001052492422094556,1.1077402985664649e-08,0.9801796683029174,0.00011399885032969636,1.2995737876492513e-08,0.9243157741361326,0.03164377980862413,0.001001328800576688,0.9030017342931431,0.005952015580314537,3.5426489468306993e-05,0.9020659648644646,0.012402972786294113,0.00015383373393755236,0.012757442691098905,0.0002193290403344655,4.8105227934037587e-08,0.02023764902734403,0.00010524924220942993,1.1077402985659246e-08,0.0021996727812295287,2.131821843142231e-05,4.544664370898339e-10,0.09699826570685686,0.005952015580314536,3.542648946830698e-05,0.9658718832876387,0.00018547701724605934,3.4401723926494994e-08,0.9972975675361925,5.412784020484442e-05,2.9298230852411717e-09,0.000522403226810038,2.2095499808898314e-05,4.882111118050254e-10,0.22300500869750978,0.022068419798087692,0.0004870151523846289,290.70056929588316,12.29528245323369,151.1739706047963
