rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9594643214306222,0.0007196966437234957,5.179632589868643e-07,0.9736312149701216,0.00012867015467911506,1.6556008705147397e-08,0.9594643214306222,0.0007196966437234957,5.179632589868643e-07,0.9639585664033173,0.0005200716391674109,2.704745098662777e-07,0.6707344272721756,0.009141624304557923,8.356929492568415e-05,0.954420764794425,0.007990568085553647,6.384917832986848e-05,0.7327685211792867,0.007647276057663418,5.848083110211215e-05,0.0053860752118364864,7.036034978882022e-05,4.950578822405133e-09,0.040535678569377745,0.0007196966437234903,5.179632589868566e-07,0.003061450252080949,4.52765022240756e-05,2.049961653646723e-09,0.045579235205575094,0.00799056808555368,6.384917832986901e-05,0.9353092122314252,0.0010450877222003612,1.0922083470939393e-06,0.9841677865494827,0.0003330343137501019,1.1091185413500134e-07,0.00014999744438680193,3.693164690486324e-07,1.3639465431054942e-13,0.02870793342590332,0.0009219001276896892,8.498998454342654e-07,83.46874794960021,0.20554626602884224,0.04224926747839959
2,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.955701300653398,0.000901432200131351,8.12580011433648e-07,0.9721050102472226,0.0001244868849332764,1.5496984520390803e-08,0.955701300653398,0.000901432200131351,8.12580011433648e-07,0.9610640301973155,0.0006309245758741539,3.980658204419809e-07,0.6652798192546487,0.012272837452576334,0.00015062253913736035,0.9534752582517869,0.0061831242219711514,3.823102514432635e-05,0.7254615577108844,0.00919647524122272,8.457515686242249e-05,0.0059000545658560175,0.00015848750055375954,2.511828783177793e-08,0.04429869934660195,0.000901432200131376,8.12580011433693e-07,0.003346583594163865,5.4271954640929576e-05,2.9454450605471174e-09,0.04652474174821305,0.006183124221971181,3.823102514432672e-05,0.9296508511771057,0.001291534257349516,1.6680607379073662e-06,0.9826495404860836,0.0003450517901391673,1.1906073787824392e-07,3.415453041323556e-05,6.694084224683982e-07,4.4810763607162947e-13,0.028595399856567384,0.00029420724177582326,8.655790111333773e-08,19.005896425247194,0.3725060284271534,0.13876074121457121
3,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.956549507639758,0.0006484464515006119,4.204828004637353e-07,0.973052043294224,0.0001324708618129039,1.7548529229453482e-08,0.956549507639758,0.0006484464515006119,4.204828004637353e-07,0.9617484852034408,0.00046184692272493934,2.1330258003049607e-07,0.6563975638202569,0.012776549259296341,0.00016324021097522589,0.9562755281305204,0.007917931509508256,6.269363938926371e-05,0.7205005264009551,0.010488056437606882,0.00010999932783842716,0.004478189058973195,6.55313954900612e-05,4.2943637948748125e-09,0.04345049236024208,0.000648446451500641,4.2048280046377326e-07,0.003195245427947685,4.0940075578415255e-05,1.6760897883663533e-09,0.043724471869479635,0.007917931509508279,6.269363938926405e-05,0.931221754708164,0.0009251055044040765,8.558201942787209e-07,0.9861833291101686,0.00026345891378736457,6.941059925401801e-08,0.00015013425665627605,1.1900688136151391e-06,1.4162637811393446e-12,0.02904024124145508,0.00037197335189210334,1.3836417451784654e-07,83.5448796749115,0.6622616781604558,0.43859053035990314
4,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9519116832912193,0.0007916360725717851,6.266876713968807e-07,0.9714204878016963,4.8937121002441556e-05,2.394841812007606e-09,0.9519116832912193,0.0007916360725717851,6.266876713968807e-07,0.9582880320668817,0.0005346566175781428,2.8585769872010046e-07,0.6548881781905947,0.013488820987384737,0.00018194829162971094,0.9553755980898782,0.005456403968925517,2.9772344272106136e-05,0.7159291948501184,0.010471429288225918,0.00010965083133831554,0.004908934886250863,0.00016222941049465672,2.631838162944384e-08,0.048088316708780686,0.0007916360725717973,6.266876713968999e-07,0.0035331501063354366,4.4044677693836555e-05,1.9399336331539435e-09,0.04462440191012195,0.005456403968925503,2.977234427210598e-05,0.9243734808613817,0.0011043791186848002,1.2196532377870163e-06,0.9847138296090087,0.00027073203776311076,7.329583627136644e-08,3.497153745651533e-05,1.3105625835394957e-06,1.7175742853737177e-12,0.02888827323913574,0.00036761490810147433,1.351407206584554e-07,19.46053466796875,0.7292912567182424,0.5318657371256733
5,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9541727304008545,0.0005357830496871822,2.8706347633209747e-07,0.972423390915354,0.00018523125687932386,3.431061852509407e-08,0.9541727304008545,0.0005357830496871822,2.8706347633209747e-07,0.9599149162616077,0.00036832426257125234,1.3566276239865685e-07,0.6494571555918445,0.011251698633363266,0.00012660072213602878,0.9574670086191841,0.009902103891251688,9.80516614731418e-05,0.7144438668350481,0.009592712918398706,9.202014113481342e-05,0.003998751327903968,7.19525607280346e-05,5.177170995321508e-09,0.04582726959914553,0.0005357830496871705,2.87063476332085e-07,0.003321734728469967,3.415085691207583e-05,1.1662810278290776e-09,0.04253299138081605,0.0099021038912517,9.805166147314206e-05,0.9278742303315501,0.000753932854459097,5.68414749032842e-07,0.9876034697767736,0.0003331035753911624,1.109579919383758e-07,0.0001513754777049473,1.0213126628910071e-06,1.04307955538152e-12,0.02882843017578125,0.0006559438138701594,4.302622869545303e-07,84.23557920455933,0.5683558633161778,0.32302838736587774
6,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9488275874909577,0.000750137860293884,5.627068094462866e-07,0.9707183984066425,0.00010911618870910425,1.1906342638400852e-08,0.9488275874909577,0.000750137860293884,5.627068094462866e-07,0.9559955878807479,0.0004993227592573496,2.493232179123731e-07,0.6472407236311535,0.014280676743409009,0.0002039377282497429,0.9563859979274921,0.005674554336666013,3.220056691977505e-05,0.7092460933963818,0.010895889520074918,0.00011872040843367844,0.004438567544124293,9.471160934548196e-05,8.970288944811186e-09,0.05117241250904218,0.0007501378602938931,5.627068094463003e-07,0.0037073986702110978,4.492159170790696e-05,2.0179494015718953e-09,0.04361400207250785,0.005674554336665972,3.220056691977459e-05,0.9200727770152423,0.0010517638785744337,1.1062072562739363e-06,0.9862426971885944,0.000313235790220776,9.8116660275234e-08,3.4300896843285814e-05,1.089472490482987e-07,1.1869503075192021e-14,0.02877497673034668,0.0006646058910738338,4.4170099045004463e-07,19.08734459877014,0.06062343821963026,0.0036752012615693273
7,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9521115150054505,0.0004871213924415613,2.3728725097420558e-07,0.9717702979524738,0.00018372172986704638,3.3753674025339964e-08,0.9521115150054505,0.0004871213924415613,2.3728725097420558e-07,0.9582873562096896,0.0003165193773916548,1.001845162644008e-07,0.642605305861123,0.01036739733777162,0.00010748292755923408,0.9575932470328921,0.00988240375705066,9.766190401736899e-05,0.7086719753985575,0.00898672569232225,8.076123866904484e-05,0.0037360523191596927,8.591289771309921e-05,7.3810259934614475e-09,0.04788848499454934,0.0004871213924415452,2.3728725097418988e-07,0.003441635820913936,3.187680636744632e-05,1.0161307841876662e-09,0.042406752967107955,0.009882403757050627,9.766190401736833e-05,0.9249696999192313,0.0006823935312768197,4.65660931528448e-07,0.9887081230466672,0.00032476442513763897,1.0547193183498112e-07,0.00014833761855336972,4.3656212173440806e-07,1.905864861332481e-13,0.02896008491516113,0.0005421844139241655,2.939639387022908e-07,82.54510827064514,0.2429400812318812,0.05901988306895305
8,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9462351643247683,0.0007633088450824516,5.826403929811061e-07,0.9700258097789517,0.00022840319706693868,5.216802043039882e-08,0.9462351643247683,0.0007633088450824516,5.826403929811061e-07,0.9540362810279779,0.0005305562394306325,2.814899231987746e-07,0.6425630887706848,0.013000996803742587,0.00016902591789092494,0.95776475572412,0.006674292065335621,4.454617457340203e-05,0.7050915400449724,0.01007288912420596,0.00010146309530854671,0.00417612862232567,9.299429962097268e-05,8.647939761995241e-09,0.05376483567523177,0.0007633088450824579,5.826403929811156e-07,0.0038627309531704956,4.4884321936800825e-05,2.01460235572638e-09,0.042235244275880116,0.006674292065335588,4.454617457340159e-05,0.9164703920329951,0.0010567441202333197,1.1167081356476926e-06,0.9874126955804444,0.000351721411860757,1.2370795156132428e-07,3.4430546636286956e-05,1.4001395596449648e-07,1.9603907864827958e-14,0.028806161880493165,0.0008561763447369068,7.330379332870506e-07,19.159490489959715,0.07789795108504284,0.006068090783247726
9,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9502835565902968,0.0005339416213958003,2.8509365505877614e-07,0.971156444698637,0.0002717374103662715,7.384122019256742e-08,0.9502835565902968,0.0005339416213958003,2.8509365505877614e-07,0.9568381396460326,0.0004047999680767054,1.638630141549017e-07,0.6383803435697312,0.009294406078390723,8.638598435002641e-05,0.9571206579660343,0.009715659897489107,9.439404724367805e-05,0.7050490602016748,0.008055258263675365,6.488718569451027e-05,0.003584371540359934,0.00011804791777762558,1.3935310891633048e-08,0.049716443409703256,0.0005339416213958159,2.8509365505879276e-07,0.003553387663337546,3.757574375649422e-05,1.4119365188537148e-09,0.042879342033965775,0.009715659897489105,9.439404724367801e-05,0.922395558748374,0.0007470660220596558,5.581076413160381e-07,0.9895518870809731,0.00029065596088907644,8.448088760035232e-08,0.00014983464885603227,8.792240332533467e-07,7.730349006502822e-13,0.028827095031738283,0.0006128712608166404,3.756111823349784e-07,83.37815718650818,0.4892114966735186,0.23932788847754408
10,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9439212837423453,0.0005115939324374302,2.6172835170679383e-07,0.9693797706974803,0.00025077974684515513,6.28904814277201e-08,0.9439212837423453,0.0005115939324374302,2.6172835170679383e-07,0.9522852391908456,0.00036687899400596175,1.346001962428265e-07,0.6366614744991901,0.010464611040429216,0.00010950808422747304,0.957240248435474,0.006119745024495383,3.7451279164836e-05,0.7002240027441302,0.008300595601044585,6.88998873320807e-05,0.004003997926136207,0.00011297752671991738,1.2763921543749646e-08,0.056078716257654836,0.0005115939324374226,2.617283517067861e-07,0.004005514278919402,2.724061178886293e-05,7.420509306315381e-10,0.04275975156452603,0.0061197450244953305,3.745127916483535e-05,0.9132650631622816,0.000682596333342202,4.659377542922186e-07,0.9883840521067999,0.00031477474841628194,9.908314224053359e-08,3.462841352040219e-05,1.525219576279447e-07,2.3262947558660558e-14,0.029239130020141602,0.0002747174081635998,7.546965434812591e-08,19.269597053527832,0.0848634169890314,0.007201799543054221
