dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,2225871,150000,556468,euclidean,3,0.21354507357116673,0.8377676355049267,0.21354507357116673,0.23655408509241876,0.3944638539460916,0.695464389350953,0.3292509309888222,0.23211178447222275,0.6027571755988383,3.436357664448582e-05,0.05319808801707642,0.30453561064904705,0.011516393827313063,0.7864549264288333,19.122230768203735,0.020388126373291016
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,2225871,150000,556468,euclidean,3,0.21257826146337255,0.8317577420694932,0.21257826146337255,0.23322240709406455,0.4194506481190198,0.6934432010924347,0.33663473256626125,0.23223015419913634,0.6018382038830948,3.563482563250751e-05,0.05332789788535611,0.3065567989075654,0.012496729743714208,0.7874217385366274,19.82964015007019,0.019901275634765625
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,2225871,150000,556468,euclidean,3,0.21189178892586816,0.824212008767394,0.21189178892586816,0.23063245816697048,0.40650373793124983,0.7008507678118685,0.3416581397725698,0.22990543816561082,0.6013464691036845,3.4632589106900214e-05,0.05341905582392134,0.2991492321881315,0.013177626284688139,0.7881082110741319,19.27192759513855,0.018082141876220703
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,2225871,150000,556468,euclidean,3,0.2154032217486001,0.8355520912732369,0.2154032217486001,0.23675153616316041,0.41331591348339997,0.716223726314498,0.3457774548426214,0.23509180671768964,0.6039636108085921,3.462359894565952e-05,0.05309395884979901,0.2837762736855019,0.01181260449558514,0.7845967782514,19.26692485809326,0.019217491149902344
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,2225872,150000,556467,euclidean,3,0.2128535923963146,0.8476850068401933,0.2128535923963146,0.23443680402413639,0.39786297616420213,0.7007803681425273,0.33013431307887314,0.23202053385646645,0.6022866675664598,3.734129671984349e-05,0.053245451461296285,0.2992196318574727,0.011535364315758925,0.7871464076036854,20.779199361801147,0.018505573272705078
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,2225871,150000,556468,euclidean,5,0.21331684840817441,0.8395053623014319,0.21331684840817441,0.23599824025204047,0.3941388737604795,0.6957758944524842,0.3296501181002996,0.23249884017095185,0.6041378776148124,3.5622367598937684e-05,0.053195058199514686,0.3042241055475159,0.011242721400894771,0.7866831515918256,19.822707653045654,0.01836109161376953
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,2225871,150000,556468,euclidean,5,0.21122688097069373,0.8319213033513744,0.21122688097069373,0.23163943469882034,0.41724636360443607,0.6929161126115111,0.33732119302221175,0.2317435475872877,0.6030745168506461,3.487770949709299e-05,0.05339423550600227,0.307083887388489,0.012140413560727805,0.7887731190293062,19.408329248428345,0.018139123916625977
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,2225871,150000,556468,euclidean,5,0.2109231797695465,0.8290416028169098,0.2109231797695465,0.23009485813852915,0.4070688055290573,0.7008671343008417,0.3427761211857188,0.2305626404055722,0.6026046966744879,3.495717921482864e-05,0.05342514294568228,0.29913286569915837,0.01230032395478072,0.7890768202304536,19.45255160331726,0.018132686614990234
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,2225871,150000,556468,euclidean,5,0.21628557257560183,0.8400321552154552,0.21628557257560183,0.23795674377612247,0.4139370671358471,0.7231102109306186,0.34815550550178437,0.2372523542615122,0.6057315856350555,3.481382806684819e-05,0.05299505197139318,0.27688978906938144,0.01121135214649972,0.7837144274243981,19.37278127670288,0.018205642700195312
CIC18,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,2225872,150000,556467,euclidean,5,0.21345740178662886,0.8391320326592344,0.21345740178662886,0.23352659076680296,0.3912467829495182,0.6997982953916204,0.3301295757912985,0.23215601102282502,0.6034144775157961,3.494605476299285e-05,0.05324045257854632,0.30020170460837947,0.01206419046482382,0.7865425982133711,19.44632625579834,0.0195620059967041
