rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.2685582182523206,0.004198934430842442,1.7631050354514142e-05,0.82330647921465,0.016994414698927186,0.00028881013095911245,0.2685582182523206,0.004198934430842442,1.7631050354514142e-05,0.3206259055738884,0.007086519847452483,5.021876354833795e-05,0.38478402549699997,0.019300111874547173,0.0003724943183700368,0.7278729840904523,0.007516412297610703,5.649645382767341e-05,0.3514798080173871,0.014573014655297966,0.00021237275614352928,0.012592305108395119,0.0017827671244874047,3.1782586201530897e-06,0.7314417817476793,0.00419893443084244,1.763105035451413e-05,0.049602272457071626,0.000366997220084028,1.346869595494045e-07,0.27212701590954774,0.007516412297610727,5.6496453827673774e-05,0.2682250298142976,0.0058929344143082785,3.472667601133885e-05,0.6309527833685559,0.002734695594883836,7.478559996677057e-06,0.0001524138289852513,1.2958020607956197e-06,1.6791029807621748e-12,0.019282817840576172,0.000503319380151854,2.5333039843644656e-07,84.81338834762573,0.7211077720965324,0.5199964189780246
2,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.2698988173134979,0.004853715200773833,2.355855125022297e-05,0.834685788454107,0.016139177234673018,0.0002604730418121878,0.2698988173134979,0.004853715200773833,2.355855125022297e-05,0.3244716210282236,0.006960346646893372,4.8446425444919816e-05,0.38062623097360565,0.013013820378917004,0.00016935952085471553,0.7276045498492315,0.009516989401311522,9.057308726467583e-05,0.3471779567028074,0.012208430087012398,0.00014904576518946956,0.011264268547523246,0.00167354890157843,2.8007659259743694e-06,0.730101182686502,0.004853715200773866,2.3558551250223288e-05,0.04942436341560169,0.0003873729874840534,1.5005783143232056e-07,0.27239545015076855,0.009516989401311586,9.057308726467707e-05,0.27150127002176977,0.006229235491197756,3.880337480479775e-05,0.6340285637522969,0.0034508195057976147,1.1908155261593292e-05,0.0001536234039685199,1.6907836093859609e-06,2.8587492137682178e-12,0.0191251277923584,0.0008582383631799298,7.365730880337651e-07,85.48647727966309,0.9408261661105237,0.8851538748382268
3,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.27122324231853084,0.004758350310983992,2.264189768204145e-05,0.8411608301195361,0.020479507503266135,0.0004194102275763339,0.27122324231853084,0.004758350310983992,2.264189768204145e-05,0.3271411658569651,0.008081131195518369,6.530468139918015e-05,0.37795149272432604,0.00879550884377305,7.736097582088994e-05,0.7285593550809895,0.009103630167616176,8.287608222873132e-05,0.34419079628076465,0.008171800414612228,6.677832201625657e-05,0.010718170436977748,0.002169392640611433,4.706264429139045e-06,0.7287767576814692,0.004758350310984016,2.2641897682041686e-05,0.04929966187456314,0.00041098117864699356,1.6890552920207202e-07,0.27144064491901043,0.009103630167616249,8.287608222873264e-05,0.27404487955568657,0.006333967386862953,4.011914285784351e-05,0.6364264881229428,0.003979192652753996,1.5833974167731382e-05,0.0001537721602723834,4.243371865274614e-07,1.8006204787004157e-13,0.018687105178833006,0.0008127151800469073,6.605059638786769e-07,85.56925568580627,0.23611092639262823,0.0557483695619851
4,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.2774838018264864,0.00581152640056873,3.3773839104507344e-05,0.8367586484344812,0.0035400635682990254,1.253205006759803e-05,0.2774838018264864,0.00581152640056873,3.3773839104507344e-05,0.33333734730657855,0.00690634739468562,4.7697634336080856e-05,0.3739029910521099,0.003870305726890479,1.497926641960124e-05,0.7343590816328109,0.009319424125068285,8.685166602290477e-05,0.34306639051706256,0.005035003415033289,2.5351259389396875e-05,0.011423546995467816,0.00023408848439181577,5.479741852485738e-08,0.7225161981735136,0.005811526400568758,3.377383910450766e-05,0.04892931634459875,0.00038872331967955247,1.5110581926269155e-07,0.265640918367189,0.009319424125068356,8.685166602290611e-05,0.281535417606895,0.00530286009397178,2.8120325176238396e-05,0.6458593559615007,0.004156225433073135,1.7274209850523966e-05,0.00015507914134615274,1.1515362717040816e-06,1.3260357850501363e-12,0.019379043579101564,0.0001778074069664258,3.1615473972124167e-08,86.2965482711792,0.6407352926698047,0.41054171527266026
5,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.2729768024744694,0.005102409183877386,2.6034579479716295e-05,0.8403307624994723,0.01817451860543132,0.0003303131265391693,0.2729768024744694,0.005102409183877386,2.6034579479716295e-05,0.32897830937552797,0.00764534288719533,5.8451267862788225e-05,0.3728469272757877,0.007932948808900277,6.293167680463231e-05,0.7300030832009476,0.009520789637853935,9.064543532826687e-05,0.3403936034481259,0.0075892400819704475,5.75965650217868e-05,0.010825379631274246,0.0019130696894705673,3.6598356367710128e-06,0.7270231975255306,0.005102409183877382,2.6034579479716245e-05,0.04918990514378699,0.0003901366810804004,1.5220662992443e-07,0.26999691679905224,0.009520789637854016,9.064543532826841e-05,0.2762492711060473,0.005803134700098318,3.367637234748519e-05,0.6387795562561275,0.004316902957236269,1.8635651142195244e-05,0.0001536120965373082,9.985631004495981e-07,9.971282655795143e-13,0.019268798828125,0.0006052500735983735,3.663276515908365e-07,85.48018565177918,0.5557138767121179,0.30881791277041093
6,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.2743422005269528,0.005238290732119074,2.7439689794204584e-05,0.8340378821701115,0.007549156771513524,5.698976796088849e-05,0.2743422005269528,0.005238290732119074,2.7439689794204584e-05,0.32931821207627515,0.007155026518377079,5.1194404478679227e-05,0.368471057498639,0.0036535799049036348,1.3348646121515652e-05,0.7315826039255844,0.009663927813365553,9.339150078194032e-05,0.3384439173101248,0.004999674954456903,2.499674965022364e-05,0.011463430054808663,0.0006170719848913215,3.8077783453771523e-07,0.7256577994730472,0.005238290732119046,2.7439689794204296e-05,0.04914141530185706,0.00037445398059313297,1.4021578358204242e-07,0.2684173960744155,0.009663927813365624,9.33915007819417e-05,0.27733297950164554,0.005494759482624377,3.0192381771890517e-05,0.6412371978180783,0.0046147865158431365,2.1296254586807633e-05,0.00015396873605156577,8.843240154334491e-07,7.820289642723392e-13,0.018924570083618163,0.0007419215673595174,5.50447612113203e-07,85.6786437034607,0.49207269382254487,0.24213553600577598
7,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.2110663004465462,0.0022510085350833137,5.067039425017925e-06,0.8328160356400742,0.011530247600265631,0.00013294660972343133,0.2110663004465462,0.0022510085350833137,5.067039425017925e-06,0.22998929559379566,0.004132553034064189,1.707799457935313e-05,0.4008357335737792,0.011887159254599815,0.000141304555144218,0.7028316928113784,0.012186600583592846,0.0001485132337840255,0.3376819045901439,0.007117582915855484,5.065998656407786e-05,0.01183787449853738,0.001222712964244108,1.4950269929306137e-06,0.7889336995534538,0.002251008535083345,5.0670394250180665e-06,0.05338477160346607,0.00019156669039656904,3.6697796869494934e-08,0.2971683071886215,0.012186600583592786,0.000148513233784024,0.2322041852567292,0.0027824306952644925,7.741920573950048e-06,0.6065814359784412,0.0018994802124870439,3.6080250776298256e-06,3.603116578323431e-05,3.467484521200342e-07,1.2023448904763965e-13,0.018308162689208984,0.0001536283558725465,2.3601671728101792e-08,20.05018358230591,0.1929579732962298,0.037232779458588536
8,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.21304197670212907,0.0021536550096186223,4.638229900455387e-06,0.8359264912688811,0.0050838840753337396,2.584587729143199e-05,0.21304197670212907,0.0021536550096186223,4.638229900455387e-06,0.23384317352646308,0.0031848206583012725,1.0143082625542551e-05,0.4047275785958676,0.011628290095292053,0.00013521713054026727,0.7024935295374152,0.011956280110698676,0.00014295263408548871,0.3376065027202626,0.008020229250286342,6.432407722714862e-05,0.011791800305545367,0.0005226690184198928,2.731829028160143e-07,0.7869580232978709,0.0021536550096186518,4.638229900455515e-06,0.05324998824022775,0.00017290689973944106,2.989679597750512e-08,0.2975064704625849,0.011956280110698707,0.0001429526340854895,0.23284267868962977,0.002571071752096886,6.61040995443055e-06,0.6037926308581596,0.0012194892632461092,1.4871540631725383e-06,3.504342782814007e-05,3.287362966557774e-07,1.0806755273895528e-13,0.01848011016845703,0.0006117538598393967,3.742427850284002e-07,19.500539207458495,0.18293381796859406,0.03346478175656671
9,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.21266783064389486,0.002125019745314638,4.515708917977089e-06,0.8323936163177879,0.009657278176564562,9.326302177955013e-05,0.21266783064389486,0.002125019745314638,4.515708917977089e-06,0.23305083866238324,0.003803972229354374,1.4470204721699288e-05,0.40151214616848907,0.012206918578814589,0.0001490088611898088,0.7024746188380304,0.012160706060287737,0.00014788277188471888,0.3374131990047346,0.0072879906534449816,5.311480776470141e-05,0.011980786377394127,0.001058822213256129,1.1211044792846075e-06,0.7873321693561052,0.0021250197453146664,4.51570891797721e-06,0.053287530382233286,0.00017996693539432758,3.2388097835226075e-08,0.29752538116196947,0.012160706060287756,0.00014788277188471937,0.2325384627108285,0.0028028164470529724,7.855780035870648e-06,0.6050637523670733,0.001627865974120952,2.649947629700756e-06,3.5392112880186144e-05,3.8797691058574634e-07,1.5052608314766022e-13,0.019373226165771484,0.0009176529699767949,8.420869733072323e-07,19.69457106590271,0.21588212578364008,0.046605092232863396
10,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.21164459075957684,0.0025247906555857795,6.374567854533271e-06,0.8281118158232978,0.004815196800307859,2.3186120225695045e-05,0.21164459075957684,0.0025247906555857795,6.374567854533271e-06,0.22870078217310902,0.0037868607362381685,1.4340314235662283e-05,0.3924268737556296,0.010919136901549262,0.0001192275506747748,0.7066725677243444,0.012467486463074735,0.00015543821870695176,0.3370947556192359,0.009416429850983035,8.866915113848438e-05,0.012072648449647807,0.0007467224413968217,5.575944044856298e-07,0.7883554092404232,0.0025247906555857847,6.374567854533296e-06,0.0533618705126714,0.00019702425489890875,3.881855701847016e-08,0.2933274322756555,0.0124674864630748,0.0001554382187069534,0.23391213818224496,0.003237057288113681,1.0478539886529898e-05,0.6113377159888395,0.0027223332314167195,7.411098222875799e-06,3.630542139657261e-05,1.2510744525179252e-07,1.5651872857430262e-14,0.018563318252563476,0.0003458220766978985,1.1959290873164717e-07,20.202797985076906,0.06962280114746892,0.004847334439619999
