dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,2225871,2225871,556468,euclidean,3,0.9781568751482566,0.9787352728983131,0.9781568751482566,0.978418918469101,0.9015673225875624,0.9143665189064336,0.9067249922550891,0.9630710960248915,0.9938492194176423,0.000510104969453958,0.002487381665092202,0.08563348109356644,0.015467600124639538,0.021843124851743497,283.8570921421051,0.22690868377685547
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,2225871,2225871,556468,euclidean,3,0.9780724138674641,0.9786311037377529,0.9780724138674641,0.9783240014200844,0.9458103299922798,0.8996320789808618,0.914027756369093,0.9629214202890414,0.9939286896003875,0.0005121615591335536,0.0025059285174120383,0.10036792101913825,0.01566134162864465,0.021927586132535922,285.0015184879303,0.2120509147644043
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,2225871,2225871,556468,euclidean,3,0.9780041260234191,0.9785552106774672,0.9780041260234191,0.9782536648497208,0.932417778841014,0.9068840105149022,0.9149315444444477,0.9628070483715488,0.9934518048205301,0.0005117406706583536,0.0025122900367579707,0.09311598948509794,0.0156884765747887,0.021995873976580864,284.7673075199127,0.25675129890441895
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,2225871,2225871,556468,euclidean,3,0.9782629010113789,0.9788439419087711,0.9782629010113789,0.9785253587481213,0.9402758084841155,0.930813526659113,0.9329287241231399,0.9632469958585763,0.993745063456605,0.0005357868112701616,0.0024792667171741455,0.069186473340887,0.015451901768991094,0.021737098988621088,298.1482152938843,0.2170412540435791
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,2225872,2225872,556467,euclidean,3,0.978054403944888,0.9785039739055539,0.978054403944888,0.9782614769319158,0.8989611715062388,0.9112224596349573,0.9040619335550386,0.9628742304653164,0.9941141073076698,0.0005167654156368894,0.002525714244800847,0.08877754036504276,0.015940117616900736,0.021945596055111982,287.5629005432129,0.19803309440612793
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,2225871,2225871,556468,euclidean,5,0.9785216759993387,0.979411266815685,0.9785216759993387,0.9789075986738083,0.9024202137424285,0.9237413801542214,0.9113924399505569,0.9637455586725422,0.9965565351427669,0.0005229782248225084,0.0023824613397786195,0.07625861984577863,0.014258596096017975,0.021478324000661315,291.0206468105316,0.22399473190307617
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,2225871,2225871,556468,euclidean,5,0.9783886944083038,0.9792285891713275,0.9783886944083038,0.9787514470579104,0.9551384076579951,0.8966155386993176,0.912238109639434,0.9635102694437138,0.9965463040998901,0.0005562396645970124,0.002409603946530424,0.10338446130068239,0.014532753606260157,0.0216113055916962,309.52957367897034,0.21330642700195312
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,2225871,2225871,556468,euclidean,5,0.9784426058641288,0.9792877720252704,0.9784426058641288,0.978810342040126,0.9183919527520132,0.9041160688702876,0.9085115047749449,0.9636047833309149,0.996153465049313,0.0005107311414894409,0.0023991565397323464,0.09588393112971247,0.014429953960113956,0.021557394135871245,284.2055368423462,0.2562553882598877
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,2225871,2225871,556468,euclidean,5,0.9785288641934486,0.979365828745024,0.9785288641934486,0.9788928471937848,0.9537434162955131,0.9311108706325021,0.9364209365735658,0.9637455813573612,0.9964312451678351,0.0005204401912929278,0.0023944937616513754,0.06888912936749779,0.014446270618219305,0.02147113580655132,289.60831236839294,0.2237379550933838
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,2225872,2225872,556467,euclidean,5,0.9783527145365314,0.9791121407771405,0.9783527145365314,0.9786884499006893,0.8921393511530574,0.9110744151520194,0.9002383169908561,0.9634339741774409,0.9967836138244898,0.0005164938221335248,0.0024290367999484923,0.08892558484798072,0.014788266535758753,0.021647285463468634,287.41176772117615,0.1976783275604248
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",1,2225871,2225871,556468,euclidean,7,0.9786510634933185,0.9797548615523887,0.9786510634933185,0.9791161026672345,0.8994551694669756,0.9213668178748248,0.9087339858270856,0.964006762585796,0.9974202980693703,0.0005149388128717302,0.0023245121908235427,0.07863318212517519,0.013518746355671709,0.021348936506681425,286.54697132110596,0.22905683517456055
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",2,2225871,2225871,556468,euclidean,7,0.9785198789508112,0.9795597896590736,0.9785198789508112,0.9789577450343959,0.955514108645031,0.8947428273811779,0.9112354246857481,0.9637705506167854,0.9974335601126126,0.0005235928539931014,0.002355030964748515,0.10525717261882202,0.013845343422038919,0.02148012104918881,291.36266827583313,0.21471834182739258
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",3,2225871,2225871,556468,euclidean,7,0.9786151225227686,0.9796496545827085,0.9786151225227686,0.9790529596028631,0.9188941539848521,0.9010497112713087,0.9070498434715636,0.9639340551535878,0.9970108508765619,0.0005554649241808642,0.002340304286417326,0.0989502887286914,0.013719686819028508,0.021384877477231397,309.09845542907715,0.26086974143981934
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",4,2225871,2225871,556468,euclidean,7,0.9787373218226385,0.9797762891394526,0.9787373218226385,0.9791774178139057,0.9585808978221791,0.9392606762031839,0.9444996357828127,0.9641374496436498,0.9972890317353929,0.000537230487720439,0.0023297748409326314,0.06073932379681614,0.013683944436627972,0.0212626781773615,298.95157504081726,0.2230701446533203
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",5,2225872,2225872,556467,euclidean,7,0.9786833720597987,0.9796587242746886,0.9786833720597987,0.9791009563235754,0.8951731507092245,0.9116885781607119,0.9022329012066006,0.964035009339969,0.9976361061652224,0.0005241859542469122,0.002345546614818639,0.088311421839288,0.013866571282078289,0.021316627940201307,291.6921854019165,0.20151972770690918
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",1,2225871,2225871,556468,euclidean,9,0.9787265395314735,0.9800152289234607,0.9787265395314735,0.9792566346826034,0.8982558482481393,0.9211728385335608,0.9079923381066239,0.9641716165360507,0.9977900716197214,0.0005617249727247432,0.002280336720692709,0.07882716146643913,0.012931590341864151,0.021273460468526493,312.5819721221924,0.22318220138549805
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",2,2225871,2225871,556468,euclidean,9,0.9786366871050985,0.9798577587041954,0.9786366871050985,0.9791392208197786,0.949276307861128,0.8970371279659217,0.9091780574348125,0.964005029564537,0.9977999926714185,0.0005150000786162116,0.0023050285811160778,0.10296287203407824,0.01321211582183976,0.021363312894901412,286.581063747406,0.2146303653717041
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",3,2225871,2225871,556468,euclidean,9,0.9786330930080436,0.9798050934424626,0.9786330930080436,0.9791201018777459,0.9263441432681458,0.9125508169229566,0.9145500975846641,0.9639919553823305,0.997353551536727,0.0005423290573892616,0.0023120980555207085,0.08744918307704351,0.013314563840854216,0.02136690699195641,301.7887659072876,0.25815892219543457
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",4,2225871,2225871,556468,euclidean,9,0.978832565394596,0.9800509058014385,0.978832565394596,0.9793359422810537,0.9400891219390817,0.9338704209463289,0.9304552301944649,0.9643342661465057,0.9976150901325643,0.000546129849746489,0.0022831762168327705,0.06612957905367105,0.013080208647087468,0.021167434605404083,303.90378522872925,0.2211928367614746
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",5,2225872,2225872,556467,euclidean,9,0.9787282983537209,0.9798762385912343,0.9787282983537209,0.9792082738048448,0.9002252347006034,0.9110484664511553,0.9046755371806504,0.9641456211838955,0.9979532654182541,0.0005476642538904542,0.0023065056762049804,0.08895153354884473,0.013325883496795594,0.021271701646279114,304.7570843696594,0.19710254669189453
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",1,2225871,2225871,556468,euclidean,11,0.978721148385891,0.9801103738774517,0.978721148385891,0.9792845833569073,0.9121354055926338,0.9180668684819465,0.9089461941728812,0.9641828813036849,0.997915968554329,0.0005542705253687669,0.002262583675244984,0.08193313151805352,0.012659903514565772,0.021278851614108987,308.433810710907,0.22418475151062012
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",2,2225871,2225871,556468,euclidean,11,0.9786402812021536,0.9799949619662418,0.9786402812021536,0.979189111856192,0.9473733258082123,0.8959554518877353,0.907775409489309,0.9640387865966259,0.9979535177119837,0.0005429182383581173,0.002279270699073999,0.10404454811226478,0.01282934168826357,0.021359718797846417,302.1166262626648,0.2122793197631836
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",3,2225871,2225871,556468,euclidean,11,0.9787013808520886,0.9800404228083093,0.9787013808520886,0.9792458252096375,0.919742434214316,0.9086931262527551,0.9082509496797997,0.964141822159964,0.997512869091586,0.0005139016855402021,0.0022719257174207987,0.09130687374724472,0.012780266613400511,0.02129861914791147,285.9698431491852,0.2582869529724121
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",4,2225871,2225871,556468,euclidean,11,0.9788703034136734,0.9802125076670082,0.9788703034136734,0.9794161047832183,0.9412061903472464,0.9323299443941385,0.930017461487547,0.9644232143178493,0.9977773554100278,0.0005171974084709714,0.0022554149670901526,0.06767005560586158,0.012701527920025678,0.021129696586326616,287.80380749702454,0.2212834358215332
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",5,2225872,2225872,556467,euclidean,11,0.9788127597862946,0.9800727077135089,0.9788127597862946,0.979330885642307,0.9023085457000154,0.9080774823956247,0.9039319045460295,0.9643118779044906,0.9981249979518362,0.0005128678646084596,0.0022737947231757207,0.09192251760437521,0.012919680633930428,0.021187240213705393,285.3940420150757,0.19857478141784668
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",1,2225871,2225871,556468,euclidean,15,0.9787481041138035,0.9803257172815292,0.9787481041138035,0.9793731657180663,0.9137579789453127,0.9167829872160278,0.9091074121982728,0.9642690829002167,0.9980517753400162,0.0005186263436789267,0.002222837154704205,0.08321701278397224,0.012090661434366552,0.021251895886196512,288.59896421432495,0.22230744361877441
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",2,2225871,2225871,556468,euclidean,15,0.9788379565401784,0.980427278527069,0.9788379565401784,0.9794607850407262,0.9481494284886057,0.889008525382859,0.900616939429458,0.9644226126904613,0.9980905887361967,0.000515436184769863,0.0022110584253746636,0.11099147461714093,0.012003832920798369,0.02116204345982159,286.8237428665161,0.21320152282714844
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",3,2225871,2225871,556468,euclidean,15,0.978803812618156,0.9803662488065001,0.978803812618156,0.9794204666739689,0.9291781606910761,0.9093786579114821,0.9095240476511365,0.9643625115550715,0.9976427885487513,0.000513371283593441,0.0022170585669928308,0.09062134208851776,0.012059691123048402,0.021196187381844058,285.6746914386749,0.2611851692199707
CIC18,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",4,2225871,2225871,556468,euclidean,15,0.9789583587915208,0.9805394414231602,0.9789583587915208,0.9795814169819169,0.936832000367946,0.9267087703026277,0.9231403578907018,0.9646236386725954,0.9979199571198736,0.0005151481324287194,0.0021984850913425577,0.07329122969737237,0.011935635161659176,0.021041641208479192,286.6634509563446,0.22207021713256836
