rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9801228390674499,5.7319906221216345e-05,3.2855716492090366e-09,0.9810629732598486,7.151747309038074e-05,5.114748957233333e-09,0.9801228390674499,5.7319906221216345e-05,3.2855716492090366e-09,0.980521963035329,5.971798243476021e-05,3.5662374260783287e-09,0.935887099210618,0.023950461505772878,0.0005736246063395083,0.9245856586913135,0.016561896133583807,0.00027429640353961827,0.925489148969295,0.014922294404462973,0.00022267487029346692,0.012888268510543616,0.00010457940384083552,1.0936851707704563e-08,0.019877160932550136,5.731990622121112e-05,3.2855716492084373e-09,0.002184361962872917,9.83087859616232e-06,9.664617397248241e-11,0.0754143413086864,0.016561896133583897,0.00027429640353962125,0.9664568588148017,9.838014702701237e-05,9.678653329056569e-09,0.9965666643482741,4.644231517099315e-05,2.1568886384418607e-09,0.0022465149028238845,3.0029221962306125e-06,9.017541716614484e-12,0.22329974174499512,0.021981642017601718,0.00048319258578999325,1250.1132063865662,1.6717257358876578,2.794666936029131
2,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9797440211215951,0.00011894226045586328,1.4147261322350418e-08,0.9803687160337136,0.00014935174709211591,2.2305944359467356e-08,0.9797440211215951,0.00011894226045586328,1.4147261322350418e-08,0.9800226070547202,0.00012880415948196,1.6590511499854186e-08,0.931727070358414,0.020576716130556578,0.0004234012467175072,0.9236597792263623,0.015688731488495634,0.00024613629571811443,0.9242913520043331,0.014644300441184945,0.0002144555354116896,0.014145614559077724,0.00021395667271257185,4.577745779823459e-08,0.020255978878404822,0.00011894226045584956,1.4147261322347154e-08,0.002293439562498836,2.0930895633412793e-05,4.381023920168187e-10,0.07634022077363775,0.01568873148849558,0.0002461362957181128,0.9657584527113752,0.00020538396903386791,4.218257473610481e-08,0.9941761427202241,7.996913528757453e-05,6.395062598642398e-09,0.002247534744959399,1.412266925245617e-06,1.9944978681427095e-12,0.2230778694152832,0.02243053739403537,0.000503129007785219,1250.680715084076,0.786146363887699,0.6180261054538505
3,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9803298591637416,4.839080309513331e-05,2.341669824191964e-09,0.9814854979561506,5.813574939984754e-05,3.379765358281874e-09,0.9803298591637416,4.839080309513331e-05,2.341669824191964e-09,0.9808046446669467,4.9380819972269864e-05,2.438465381133726e-09,0.9336323991236476,0.022180360747639936,0.0004919684028954464,0.9244813815060733,0.01359442076030828,0.00018480827580830071,0.9240622099840328,0.012535179011180765,0.0001571307128423468,0.012069161092273361,0.00011745484526784879,1.37956406768943e-08,0.019670140836258353,4.8390803095131144e-05,2.3416698241917537e-09,0.0021159534619021145,9.295870003105299e-06,8.641319911463292e-11,0.07551861849392676,0.013594420760308328,0.00018480827580830207,0.9668489233814535,8.181654591760507e-05,6.69394718588758e-09,0.9972941926007322,4.144296211186397e-05,1.7175191086053921e-09,0.0022514687573274585,4.745718394900399e-06,2.2521843083696022e-11,0.2228858470916748,0.022014778473474054,0.0004846504712361366,1252.8698661327362,2.640825191063768,6.973957689756986
4,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9804491832227826,0.00011320415794367231,1.2815181375735907e-08,0.9817934178440995,0.00011261305756482774,1.2681700734099207e-08,0.9804491832227826,0.00011320415794367231,1.2815181375735907e-08,0.9809868182620001,0.00011073249149923536,1.2261684673628233e-08,0.9317427630818665,0.022526651656616725,0.000507450034858553,0.9244796338940129,0.013067824239790365,0.00017076803036205265,0.9229852723367898,0.011230376382472396,0.00012612135369199378,0.011418942835247862,0.00012650535777180576,1.600360554497258e-08,0.01955081677721742,0.00011320415794367021,1.281518137573543e-08,0.002064650640831019,1.4974386358807294e-05,2.2423224682283396e-10,0.07552036610598718,0.013067824239790363,0.00017076803036205257,0.9670883320120834,0.0001914142534008005,3.663941640498586e-08,0.9975583166093569,3.4820403926727334e-05,1.2124605296204482e-09,0.0022204239763701987,1.561224945483706e-05,2.4374233304006e-10,0.22334671020507812,0.024384057391015124,0.0005945822548483193,1235.594441461563,8.687047416837867,75.46479282238947
5,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9805677884934146,0.00013441788808099759,1.8068168636155596e-08,0.9820641794234903,0.00012660808184558245,1.6029606388617706e-08,0.9805677884934146,0.00013441788808099759,1.8068168636155596e-08,0.9811531984610478,0.00012891895488270543,1.662009692804904e-08,0.9262223922446047,0.02569764772675757,0.0006603690986885285,0.922700084862701,0.012239252084573077,0.0001497992915897264,0.9185268903802115,0.011469575963292818,0.00013155117277774438,0.010879534771268438,0.00012450547428448122,1.5501613126803613e-08,0.019432211506585348,0.00013441788808101377,1.8068168636159943e-08,0.002020783085190253,1.5898496036596295e-05,2.527621762256681e-10,0.07729991513729892,0.012239252084573105,0.00014979929158972708,0.9673201350085249,0.0002251185960707988,5.067838229688747e-08,0.9976772977578807,1.8033718698209186e-05,3.252150100861396e-10,0.002254413136746792,6.32931552328083e-06,4.006023499324369e-11,0.2224874973297119,0.02009863942495512,0.00040395530673436035,1254.5083171367646,3.521454380653576,12.400640955024262
6,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9786413517698671,8.141543548374494e-05,6.628473135007834e-09,0.9796798638416624,8.760677001643514e-05,7.67494615271256e-09,0.9786413517698671,8.141543548374494e-05,6.628473135007834e-09,0.9790810362883949,8.201355188227667e-05,6.726222692346886e-09,0.9255234961256524,0.03015326659382359,0.0009092194862781976,0.9136217221782414,0.017575178830082226,0.00030888691090937047,0.9147503581947621,0.016952548978714753,0.0002873889168757226,0.013726858463089079,0.0001403228889798383,1.9690513171648028e-08,0.021358648230132886,8.1415435483731e-05,6.628473135005565e-09,0.002339033779548131,1.2212141792827714e-05,1.4913640716812928e-10,0.08637827782175855,0.017575178830082236,0.0003088869109093708,0.9639767654679577,0.0001364370879021775,1.8615078955226514e-08,0.9973579693918321,0.00023032723999910434,5.3050637485605004e-08,0.0005310826066026094,1.578429707508375e-05,2.4914403415449745e-10,0.2258469581604004,0.022137465953451188,0.0004900673988402105,295.53037109375,8.783513486022937,77.15010915914681
7,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9806925036612231,0.00016606226066422447,2.7576674416912834e-08,0.9824265955727268,0.00018229089473571227,3.322997030354653e-08,0.9806925036612231,0.00016606226066422447,2.7576674416912834e-08,0.9813484400151733,0.00016707270578091604,2.7913289016956534e-08,0.9289785198321422,0.02253026608650406,0.0005076128899286751,0.9183864886591167,0.014396973367473268,0.00020727284214373454,0.9147103503846061,0.012065544268270091,0.00014557735848958524,0.010107232051825708,0.00020717923859618062,4.292323690529313e-08,0.019307496338776955,0.0001660622606642228,2.7576674416912275e-08,0.0019609818927068443,2.3887049994269423e-05,5.705911574287268e-10,0.08161351134088332,0.01439697336747331,0.00020727284214373576,0.9675807228672124,0.0002832839202848472,8.024977949195167e-08,0.9977786725325076,1.642958771371049e-05,2.6993135244250665e-10,0.002262443451173051,4.0135962948490365e-06,1.610895521802591e-11,0.22392420768737792,0.020751529370545533,0.0004306259712166139,1258.9769308567047,2.234111645794048,4.991254845872589
8,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9781101439990814,0.0001015982686197995,1.0322208186540934e-08,0.9786539006255716,0.00013736316957027662,1.8868640354392566e-08,0.9781101439990814,0.0001015982686197995,1.0322208186540934e-08,0.9783566840837887,0.00011518439777745933,1.3267445491355976e-08,0.9238064822822422,0.022030842808974712,0.00048535803487375273,0.9125837189392536,0.011592982207503683,0.00013439723646349694,0.9145349901493617,0.011285222333336589,0.0001273562431128389,0.015641887542792943,0.00019872146011102695,3.949021870865848e-08,0.02188985600091867,0.00010159826861978763,1.0322208186538522e-08,0.0025021162362474404,1.880235238741633e-05,3.5352845530058054e-10,0.08741628106074648,0.011592982207503728,0.000134397236463498,0.9629841582018749,0.0001760893692282862,3.1007465955215704e-08,0.9938177769205669,0.0002451146554852336,6.008119433364474e-08,0.0005173118852305833,1.0619856954211544e-05,1.1278136172791531e-10,0.22215704917907714,0.021963666884045312,0.0004824026629933087,287.86740679740905,5.909617211954757,34.92357559183191
9,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9784469110003503,7.840090961866206e-05,6.1467026290336175e-09,0.9792811195068897,0.00011776192113189442,1.386787006867452e-08,0.9784469110003503,7.840090961866206e-05,6.1467026290336175e-09,0.9788101369732637,9.299469810158351e-05,8.64801387500466e-09,0.9243666683202013,0.029007918444472997,0.0008414593324811968,0.9133316547016695,0.014088236137970146,0.000198478397479208,0.9137602615858714,0.013526105781354237,0.0001829555376083845,0.014491168163274028,0.0001935520128348208,3.7462381672410634e-08,0.021553088999649743,7.84009096186705e-05,6.14670262903494e-09,0.0024029504775282514,1.753909661527946e-05,3.076199100801074e-10,0.08666834529833041,0.014088236137970219,0.00019847839747921003,0.9636080333963946,0.00013937145351336478,1.9424402054427996e-08,0.996494232656859,0.0002293602413427065,5.2606120308784564e-08,0.0005253766088670829,1.7860867058627684e-05,3.190105720859715e-10,0.22299456596374512,0.02146280050783553,0.0004606518056391451,292.35516748428347,9.939065190126739,98.78501685358906
10,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9787114366785865,8.202104538856445e-05,6.7274518866329505e-09,0.9799210450925584,0.00010629201802952293,1.1297993096788429e-08,0.9787114366785865,8.202104538856445e-05,6.7274518866329505e-09,0.9792120346932052,8.818998863770701e-05,7.77747409591889e-09,0.9228381312034196,0.02304613693487828,0.0005311244276211608,0.9151359341639846,0.013586594667295795,0.00018459555465339054,0.9133702521002431,0.010190473914590076,0.00010384575860394077,0.013172872429688237,0.0001672068397178546,2.7958127248432314e-08,0.021288563321413503,8.202104538853887e-05,6.7274518866287525e-09,0.002297429050073449,1.4582598481216417e-05,2.1265217846437533e-10,0.08486406583601533,0.013586594667295823,0.0001845955546533913,0.964129697762664,0.00013997686017494005,1.959352138443472e-08,0.997702394275737,0.0002288352920829369,5.236559090268304e-08,0.000542569642473432,1.707114195663591e-05,2.9142388770361486e-10,0.22285337448120118,0.02224898999226164,0.0004950175556757586,301.92253427505494,9.499503364968346,90.24056418104495
