dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,2225871,150000,556468,euclidean,3,0.960279836396702,0.9755900927131266,0.960279836396702,0.9650448322132136,0.6898986956653743,0.9385326583024117,0.7326170739728102,0.937232136731444,0.9846887998260238,3.464526993434343e-05,0.0028257161281708292,0.06146734169758832,0.002665578319264498,0.03972016360329794,19.27898406982422,0.024192333221435547
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,2225871,150000,556468,euclidean,3,0.9605404084331893,0.975683438862349,0.9605404084331893,0.965209606829497,0.6834002356549971,0.9580826839895789,0.7304897877972486,0.9376581114787631,0.9847370244391093,3.487497812989529e-05,0.0028025631120484817,0.04191731601042121,0.0025788551139165616,0.03945959156681067,19.406809329986572,0.022346019744873047
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,2225871,150000,556468,euclidean,3,0.9610669436517464,0.9756360886388503,0.9610669436517464,0.9655470958656717,0.6848309413035197,0.943972758953716,0.7352675453061397,0.9383930404751385,0.9851687765416197,3.5000714423036636e-05,0.002770510938957431,0.05602724104628396,0.0026246077361078424,0.03893305634825363,19.47677755355835,0.01847529411315918
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,2225871,150000,556468,euclidean,3,0.9605529877728818,0.9756614335359592,0.9605529877728818,0.9652606176074546,0.6776415171159343,0.9573808991327953,0.7269314708656915,0.937628620983276,0.9843909287746868,3.545002239903519e-05,0.002816040109078104,0.04261910086720463,0.0027935894090533753,0.03944701222711818,19.726803064346313,0.023890018463134766
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,2225872,150000,556467,euclidean,3,0.9613364314505622,0.9758184925720617,0.9613364314505622,0.965819810199031,0.6849588463107339,0.9442910038792733,0.7282916374231263,0.9387934695185091,0.9852904080325919,3.53477061374631e-05,0.002750828364569844,0.055708996120726544,0.002598856919109861,0.03866356854943779,19.66983199119568,0.02117156982421875
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,2225871,150000,556468,euclidean,5,0.9576525514494993,0.974777858342932,0.9576525514494993,0.9630367901840811,0.6752878043607903,0.9392897085474409,0.7201754456575903,0.9334468966540508,0.9863198784672803,3.5890223675459275e-05,0.0029819942092774105,0.06071029145255921,0.0023824645886605083,0.042347448550500655,19.971760988235474,0.01946282386779785
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,2225871,150000,556468,euclidean,5,0.9579077323404042,0.9749243036838496,0.9579077323404042,0.9632426296685972,0.669991189248963,0.9579004832821839,0.719006768361183,0.9338414744070148,0.9863445390262926,3.552951610995719e-05,0.0029616255880974005,0.04209951671781605,0.002332116161865122,0.04209226765959588,19.77103877067566,0.01947307586669922
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,2225871,150000,556468,euclidean,5,0.9581629132313089,0.9748026097909861,0.9581629132313089,0.9633678250060076,0.6753377435195317,0.9440531634570563,0.7247706688086598,0.9341975933017498,0.986688256705777,3.5880400179442185e-05,0.002941631943699374,0.055946836542943655,0.0022873923867994988,0.0418370867686911,19.966294527053833,0.019263505935668945
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,2225871,150000,556468,euclidean,5,0.9576741160318293,0.9747157355792608,0.9576741160318293,0.9630299652547207,0.6680605081200547,0.9622106371820258,0.7176979384029823,0.9334766468591357,0.9861599771492385,3.579820680660445e-05,0.0029859527868903884,0.03778936281797406,0.00246340783518516,0.04232588396817068,19.92055654525757,0.01928257942199707
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_knn,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,2225872,150000,556467,euclidean,5,0.958509669036978,0.9748905606318385,0.958509669036978,0.963674839586209,0.6670325119083611,0.9423586660736372,0.7137935030398279,0.9346728097112409,0.9867068957932357,3.599433138408959e-05,0.0029269928605549405,0.05764133392636282,0.0024145619453020324,0.041490330963022064,20.02965760231018,0.01928853988647461
