dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,2225871,148769,556468,0.01,0.8077176046061948,0.9345010421121777,0.8077176046061948,0.849151810455501,0.5085666226089646,0.8989944738562433,0.5492678612479216,0.7512800583140596,0.9762848471492197,9.169510308768879e-08,0.013261730606626113,0.10100552614375664,0.006643563705586485,0.1922823953938052,0.051025390625,9.997955083847046
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,2225871,148737,556468,0.01,0.8149525219779035,0.934332753412521,0.8149525219779035,0.8537740455183594,0.5068731310009873,0.9082145649672696,0.5485305323176412,0.7585328907560088,0.9766949366673826,7.9654808030449e-08,0.012766020342544586,0.09178543503273037,0.006442827116072263,0.18504747802209648,0.04432535171508789,8.678059816360474
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,2225871,148709,556468,0.01,0.8055162201600092,0.933937979894665,0.8055162201600092,0.8471183703163241,0.5027735860374587,0.897193687236877,0.5456640122507797,0.7492942928483335,0.9768196711050824,7.779319383844463e-08,0.01340033564360575,0.102806312763123,0.006521254814095516,0.19448377983999082,0.0432894229888916,8.767276287078857
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,2225871,148686,556468,0.01,0.807466017812345,0.9342118973407431,0.807466017812345,0.8484856471053438,0.506338359589626,0.901547600904372,0.547510633696752,0.7511960222805444,0.9768194814254807,7.749499280791872e-08,0.013269519779720913,0.09845239909562806,0.006508814508158726,0.192533982187655,0.043123483657836914,9.006824493408203
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,2225872,148781,556467,0.01,0.8021428045149128,0.9344345486047356,0.8021428045149128,0.8450776766475284,0.510509038861126,0.918052354696447,0.5499234415285678,0.7460672279942754,0.9762437324613827,7.923249895518288e-08,0.013619400686275615,0.08194764530355313,0.006433814809047059,0.19785719548508718,0.04409027099609375,8.973437309265137
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,2225871,148769,556468,0.1,0.8572586384122717,0.94447132311254,0.8572586384122717,0.8883909828145315,0.5341375588506204,0.9161907757803561,0.5727238905442774,0.8031666312809451,0.9855702608172044,7.918994004464352e-08,0.009901641033601352,0.08380922421964393,0.005783253916291986,0.14274136158772832,0.044066667556762695,19.950836181640625
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,2225871,148737,556468,0.1,0.860421443820669,0.9448396830753435,0.860421443820669,0.8905369319605678,0.5327836974098333,0.9024054843295417,0.5727106204948623,0.8066991544993786,0.9856822295709774,7.653483690359609e-08,0.009693843405074636,0.09759451567045827,0.005829094896788467,0.13957855617933107,0.04258918762207031,19.685656309127808
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,2225871,148709,556468,0.1,0.8524766922805983,0.9449560067747168,0.8524766922805983,0.8856120655368672,0.5344259600109605,0.9148910807729087,0.5736452856770727,0.7980898902502452,0.9855469549225198,6.628931787634626e-08,0.010222152194542405,0.08510891922709142,0.0058089751987344404,0.14752330771940164,0.03688788414001465,19.20329999923706
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,2225871,148686,556468,0.1,0.8524084044365534,0.9442828896393747,0.8524084044365534,0.884890909798952,0.5304697498678208,0.9313059692633797,0.5694367970247798,0.7979566762100107,0.9857564454329577,7.688787950295435e-08,0.010230771492251399,0.06869403073662037,0.005869976820324379,0.1475915955634466,0.04278564453125,19.697258710861206
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,2225872,148781,556467,0.1,0.8527298114713002,0.9454825528228418,0.8527298114713002,0.8860838357041722,0.5363785795801256,0.9329771596909284,0.5740891218190918,0.7982667288288829,0.9854024884684909,7.788287979686814e-08,0.010193599823387025,0.06702284030907163,0.0056338088221055465,0.1472701885286998,0.04333925247192383,18.630262851715088
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,2225871,148769,556468,1.0,0.8904501247151678,0.9561533228777329,0.8904501247151678,0.9150965225280212,0.5580549802201927,0.9380831126446291,0.5934350389627118,0.8427394626637541,0.9894070306929069,7.644571935424353e-08,0.007651319808824668,0.061916887355370785,0.0052199218475378305,0.10954987528483219,0.04253959655761719,26.635563373565674
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,2225871,148737,556468,1.0,0.8904932538798278,0.9568696157783032,0.8904932538798278,0.9155599911115505,0.5579341188153357,0.9179314686289819,0.5931233365515437,0.8427559184107073,0.9887025961919985,7.509053277442538e-08,0.007652330303489264,0.08206853137101801,0.005278208432166721,0.10950674612017224,0.041785478591918945,25.972286462783813
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,2225871,148709,556468,1.0,0.888475168383447,0.9562786753332384,0.888475168383447,0.9140220743652705,0.5606299051616925,0.9247336687021697,0.596421198149731,0.8405029454620204,0.9887457696338502,7.06702166365867e-08,0.007784111761986686,0.0752663312978303,0.005236844813247312,0.11152483161655298,0.039325714111328125,28.446356058120728
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,2225871,148686,556468,1.0,0.8868416512719509,0.9556679313620184,0.8868416512719509,0.9125997766753793,0.556623272267092,0.9469842034463475,0.5923976405190935,0.8384065203906993,0.9887924124362217,7.580604386778494e-08,0.007898073307732843,0.05301579655365248,0.005312750887943583,0.11315834872804906,0.042183637619018555,27.343401193618774
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",5,2225872,148781,556467,1.0,0.8885342706755297,0.9566244413051157,0.8885342706755297,0.9142033477051967,0.5591411669902193,0.9511280448009297,0.5943922854504198,0.8404860065077597,0.9884839556958149,7.825006189803505e-08,0.007767570991932599,0.04887195519907016,0.0050478355545187205,0.11146572932447027,0.04354357719421387,26.373746156692505
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",1,2225871,148769,556468,10.0,0.9084709273489221,0.9620204860840117,0.9084709273489221,0.9287772777579697,0.5737565000658855,0.9427675307863101,0.6090012873803466,0.8656290057306371,0.9908821296055891,6.393798561265926e-08,0.006430065474475558,0.057232469213689775,0.0049219094660555174,0.09152907265107788,0.03557944297790527,50.07303166389465
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",2,2225871,148737,556468,10.0,0.9064905798716189,0.9613769830950543,0.9064905798716189,0.9272804924604617,0.5680747139177474,0.9349318581549305,0.6039892822168463,0.8630357452525891,0.9897179978116293,6.271947450516549e-08,0.006561561872813886,0.06506814184506952,0.004914007963827146,0.09350942012838115,0.03490138053894043,35.13153076171875
