dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,2225871,150000,556468,0.01,0.8065369437236283,0.9345459955078443,0.8065369437236283,0.8480371720715593,0.5070532961074075,0.89945349310848,0.5484432446605075,0.7504563030108221,0.9761960419745535,8.086132254476069e-08,0.013311401440514174,0.10054650689152002,0.006207965331340939,0.1934630562763717,0.04499673843383789,9.206748008728027
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,2225871,150000,556468,0.01,0.8138095991144145,0.9343841505971779,0.8138095991144145,0.8528845858999411,0.5065115659196836,0.9083662219148253,0.5482973664455506,0.7575356525232428,0.9764854277637126,7.812395705046474e-08,0.012831804296397726,0.09163377808517474,0.0062866635603804075,0.18619040088558553,0.04347348213195801,9.790627717971802
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,2225871,150000,556468,0.01,0.8038701237088206,0.9338102116046304,0.8038701237088206,0.8456965161881953,0.502818997775445,0.8974486121452012,0.5456892516988826,0.747874996371973,0.9765559210748435,7.575248764822211e-08,0.013495533403400482,0.10255138785479882,0.006303124759827879,0.19612987629117934,0.04215383529663086,9.613284587860107
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,2225871,150000,556468,0.01,0.8066789105573007,0.9342669701982023,0.8066789105573007,0.8478301079696864,0.5061413844153995,0.9017350742667606,0.5473674194162299,0.7505781218526302,0.9765772906414105,6.508965855813861e-08,0.01330921104281853,0.09826492573323943,0.006317076199578625,0.19332108944269932,0.03622031211853027,9.801317930221558
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,2225872,150000,556467,0.01,0.8008489272499537,0.9344451274168479,0.8008489272499537,0.8440154183769502,0.5101466182352331,0.9181442147189606,0.549653202993326,0.7449967398600921,0.9759450171688129,7.239228630042268e-08,0.013690460140352186,0.08185578528103944,0.006205829355236533,0.1991510727500463,0.040283918380737305,9.442107915878296
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,2225871,150000,556468,0.1,0.8547194088429164,0.9440806267831982,0.8547194088429164,0.8863646660989353,0.5331680152146125,0.916239417800974,0.5722819504318732,0.8005460217844417,0.985246785712274,7.747956861668462e-08,0.010054396163231094,0.08376058219902598,0.005535351291382801,0.1452805911570836,0.04311490058898926,18.521422147750854
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,2225871,150000,556468,0.1,0.8587214359136555,0.9444191708139683,0.8587214359136555,0.8890403721477054,0.5322536375162698,0.9061452854095084,0.5720975981289929,0.8049501333697533,0.9855010621053178,7.824692213058102e-08,0.0097999208765747,0.0938547145904915,0.005720249062275915,0.1412785640863446,0.043541908264160156,20.39468479156494
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,2225871,150000,556468,0.1,0.85064370278255,0.9446189628807393,0.85064370278255,0.8840786456679366,0.5336214186276762,0.9148856936315012,0.5729453623250566,0.796214261262727,0.9853813068811627,7.560253023344615e-08,0.010335639191525157,0.08511430636849875,0.0056782906554273035,0.14935629721745006,0.04207038879394531,19.368328332901
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,2225871,150000,556468,0.1,0.8502537432520828,0.9437461948087994,0.8502537432520828,0.8829958189285404,0.5296016010712523,0.9314525032864849,0.5685451443913967,0.7957623424527803,0.9856683595345159,7.762524153389556e-08,0.010366211759181254,0.06854749671351526,0.005746919639801594,0.14974625674791722,0.04319596290588379,19.094432592391968
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_logreg,StandardScaler + sin PCA + RUS_SMOTE + logreg,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,2225872,150000,556467,0.1,0.8519516880605679,0.9453181015669914,0.8519516880605679,0.8853139230427343,0.535512098778725,0.933224241303959,0.5733602582845655,0.797569442414801,0.9852608081608583,9.340778462275201e-08,0.010233964603819815,0.06677575869604097,0.005461157117865081,0.14804831193943216,0.051978349685668945,19.727179765701294
