dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,2225871,149820,556468,0.0001,"(50,)",0.2805444338218909,0.8561151393143592,0.2805444338218909,0.30382905258465315,0.37682914273009266,0.7541924304146616,0.3455509863610893,0.29969116481454666,0.7675791872375668,2.1576601202550654e-07,0.04873045503971034,0.2458075695853385,0.011501259417546088,0.719455566178109,0.12006688117980957,4.847599506378174
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,2225871,149776,556468,0.0001,"(50,)",0.26419488631871013,0.8382458684273046,0.26419488631871013,0.2857271343942504,0.3351332970265902,0.7328702775791,0.28548024226253277,0.27267285033173033,0.7180224799639514,2.137844319016814e-07,0.05002133582382603,0.26712972242089994,0.014514923676100498,0.7358051136812899,0.11896419525146484,7.246840715408325
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,2225871,149844,556468,0.0001,"(50,)",0.2942684934263965,0.8544190884343948,0.2942684934263965,0.3326492980127886,0.38165771200061754,0.7501449998783144,0.3416553858088223,0.29327040935867615,0.7439499977297239,2.1795838942953102e-07,0.04785768553383181,0.24985500012168552,0.012133776433873589,0.7057315065736035,0.12128686904907227,7.563364744186401
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,2225871,149800,556468,0.0001,"(50,)",0.3034082822372535,0.8584237185473482,0.3034082822372535,0.3422214723602812,0.3430143300188394,0.7626880110044861,0.300667854616307,0.30868815186217996,0.7375607164454224,2.1244595486236685e-07,0.04725186374207736,0.23731198899551384,0.012186238368414062,0.6965917177627464,0.11821937561035156,8.676440954208374
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,2225872,149770,556467,0.0001,"(50,)",0.2919544195792383,0.8648403940917279,0.2919544195792383,0.33032160233850166,0.34637553223370515,0.7513617576913726,0.29160639183212955,0.2960159057704119,0.7477588860636112,2.1969786179889465e-07,0.04805067616409361,0.24863824230862744,0.012714562040642191,0.7080455804207617,0.12225461006164551,7.349907636642456
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,2225871,149820,556468,0.0001,"(100,)",0.3084723649877441,0.8642467854500899,0.3084723649877441,0.351200666256068,0.3895279633584124,0.7504446134715501,0.353848572434672,0.30974211521014017,0.7738784224989874,2.8706305065585674e-07,0.04683453259928261,0.24955538652844997,0.01099035397698316,0.6915276350122559,0.15974140167236328,7.60510516166687
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,2225871,149776,556468,0.0001,"(100,)",0.29189998346715357,0.8778816012702403,0.29189998346715357,0.3314642529494992,0.36172730573270506,0.7543071457278925,0.31688432281118106,0.2994955141025203,0.764342241960166,2.957434427226021e-07,0.04783837294885062,0.24569285427210744,0.009475577699912894,0.7081000165328465,0.16457176208496094,7.741008043289185
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,2225871,149844,556468,0.0001,"(100,)",0.28659869031103313,0.8707329825421184,0.28659869031103313,0.3350792633122282,0.3772222537348977,0.7425951229917065,0.3284425905617759,0.28708152496125455,0.7590672096808275,2.878265481219446e-07,0.048228142160715984,0.25740487700829356,0.01002082272177282,0.7134013096889669,0.16016626358032227,11.777441501617432
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,2225871,149800,556468,0.0001,"(100,)",0.3409216702487834,0.8683064667891287,0.3409216702487834,0.39261038893197553,0.39290650755526824,0.7703173765204324,0.3615364459399158,0.3287890932741058,0.8003107577506026,2.8507247308714505e-07,0.04464492539403823,0.22968262347956758,0.010595551159356929,0.6590783297512166,0.15863370895385742,8.94514274597168
CIC18,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,2225872,149770,556467,0.0001,"(100,)",0.31186215894203967,0.8575344129377813,0.31186215894203967,0.3674157916530768,0.37160374202365054,0.7498238567485417,0.3345346176912804,0.3023063381399368,0.7766739638641651,2.9098774489476374e-07,0.046598271418591415,0.25017614325145837,0.010836230220910771,0.6881378410579603,0.1619250774383545,15.48067021369934
